,City,State,2010 census,2016 land area km2,2016 land area sq mi,2016 population density km2,2016 population density sq mi,Area code,Counties,Country,County,Demonym,Density,Elevation,Estimate,Founded by,Incorporated,Land,Mayor,Metro,Rank,Summer,Time zone,Type,Water,Website,change,location,ZIP,FIPS,Finance Director,GNIS,Historic,Airports
47,Arlington,Texas,"365,438",248.1 ,95.8 ,"1,600","4,100","817, 214, 972",,United States,Tarrant,Arlingtonite,"3,810/sq mi (1,472/km2)",604 ft (184 m),"398,112,396,394",,,96.5 sq mi (249.9 km2),Jeff Williams (R),"6,810,913 (4th)(DFW Metroplex)",(US: 48th),UTC−5 (CDT),UTC−6 (CST),Council–Manager[1],3.2 sq mi (8.3 km2),www.arlingtontx.gov,+8.94%,32°42′03″N 97°07′29″W﻿ ,,48-04000[5],,1372320[6],,
48,Tampa,Florida,"335,709",293.7 ,113.4 ,"1,284","3,326",813,,United States,Hillsborough,"Tampan, Tampanian, Tampeño[7]","3,325.47/sq mi (1,283.97/km2)",48 ft (14.6 m),"392,890,385,430",,"December 15, 1855 * andJuly 15, 1887",113.42 sq mi (293.75 km2),Jane Castor (D),"3,068,511[4]",52nd in the US,UTC−4 (EDT),UTC−5 (EST),Mayor-council,61.80 sq mi (160.06 km2)  35.3%,www.tampagov.net,+17.03%,27°58′12″N 82°28′47″W﻿ ,33601-33689,12-71000[5],,0292005[9],,"Tampa International Airport,St. Pete-Clearwater International Airport
Sarasota-Bradenton International Airport
Lakeland Linder International Airport"
49,New Orleans,Louisiana,"343,829",438.7 ,169.4 ,892,"2,311",504,,United States,,New Orleanian,"2,310.78/sq mi (892.20/km2)",−6.5 to 20 ft (−2 to 6 m),"391,006,393,292",1718,,169.42 sq mi (438.80 km2),LaToya Cantrell (D),"1,262,888 (US: 46th)",,UTC−5 (CDT),UTC−6 (CST),Mayor–council,180.43 sq mi (467.30 km2),nola.gov,+13.72%,30°03′12″N 89°56′04″W﻿ ,,22-55000,,,,
50,Wichita,Kansas,"382,368",415.4 ,160.4 ,939,"2,431",316,,United States,Sedgwick,Wichitan,"2,300/sq mi (900/km2)","1,302 ft (397 m)","389,255,390,591",1868,1870,159.29 sq mi (412.56 km2),Jeff Longwell (R),"644,610 (US: 85th)",US: 50thKS: 1stMidwest: 10th,UTC−5 (CDT),UTC−6 (CST),Council-Manager,4.30 sq mi (11.14 km2),wichita.gov,+1.80%,37°41′27″N 97°20′45″W﻿ ,67223-67260,20-79000 [3],,473862 [3],,
51,Cleveland,Ohio,"396,815",201.2 ,77.7 ,"1,917","4,965",216,,United States,Cuyahoga,Clevelander,"5,107.0/sq mi (1,971.8/km2)",653 ft (199 m),"383,793,385,524","July 22, 1796","December 23, 1814 (village)",77.70 sq mi (201.24 km2),Frank G. Jackson (D),"2,055,612 (US: 32nd)",US: 51st,UTC−4 (EDT),UTC−5 (EST),Mayor–council,4.77 sq mi (12.35 km2),www.cleveland-oh.gov,−3.28%,41°28′43″N 81°40′46″W﻿ ,44181-44188,39-16000,,1066654,,
52,Bakersfield,California,"347,483",385.4 ,148.8 ,976,"2,529",661,,United States of America,Kern,Bakersfieldian,"2,543.76/sq mi (982.15/km2)",404 ft (123 m),"383,579,380,874",,"1873–1876[2],January 11, 1898[3]",149.73 sq mi (387.80 km2),Karen K. Goh (R)[4],"839,631",1st in Kern County9th in California52nd in the United States,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager,1.47 sq mi (3.81 km2)  0.97%,www.bakersfieldcity.us,+10.39%,35°19′16″N 119°01′06″W﻿ ,93220-93399,06-03526,Nelson Smith[6],"1652668, 2409774",,
53,Aurora,Colorado,"325,078",397.6 ,153.5 ,910,"2,356",Both 303 and 720,Arapahoe County[1]Adams CountyDouglas County,United States,,,"2,356.05/sq mi (909.68/km2)","5,403 ft (1,647 m)","374,114,361,710",,1929 as the City of Aurora[3],153.52 sq mi (397.62 km2),Bob LeGare[4],"2,814,330 (US: 19th)",US: 54th,UTC−6 (MDT),UTC−7 (MST),Home Rule Municipality[1],0.67 sq mi (1.73 km2),auroragov.org,+15.08%,39°41′17″N 104°41′23″W﻿ ,80137-80137,08-04000,,,,
54,Anaheim,California,"336,265",129.5 ,50.0 ,"2,711","7,021",657/714,,United States,Orange,,"7,004.97/sq mi (2,704.66/km2)",157 ft (48 m),"352,005,352,497",,"March 18, 1876[1]",50.32 sq mi (130.33 km2),Harry Sidhu[2] (R),,1st in Orange County10th in California56th in the United States,UTC−7 (PDT),UTC−8 (Pacific),,0.60 sq mi (1.57 km2)  1.92%,www.anaheim.net,+4.68%,33°51′20″N 117°45′36″W﻿ ,92801-92899,06-02000,,"1652663, 2409704",,John Wayne International AirportSNA (Major/International)
55,Honolulu,Hawaii,"337,256",156.7 ,60.5 ,"2,245","5,815",808,,United States,Honolulu,Honolulan,"5,791/sq mi (2,236.1/km2)",19 ft (6 m),"347,397,359,870[4]",,"April 30, 1907[2]",60.5 sq mi (156.7 km2),Kirk Caldwell (D),"953,207",,,UTC−10 (Hawaiian (HST)),,7.9 sq mi (20.5 km2),www.honolulu.gov,+3.01%,21°19′27″N 157°50′51″W﻿ ,96801-96850,15-17000,,366212[5],,
56,Santa Ana,California,"324,528",70.2 ,27.1 ,"4,762","12,333","657/714, 949",,United States,Orange,,"12,311.83/sq mi (4,753.70/km2)",115 ft (35 m),"332,725,334,217",1869[1],"June 1, 1886[2]",27.15 sq mi (70.31 km2),Miguel A. Pulido[3],,2nd in Orange County11th in California57th in the United States,UTC−7 (PDT),UTC−8 (Pacific),,0.25 sq mi (0.64 km2)  0.90%,santa-ana.org,+2.53%,33°44′11″N 117°52′59″W﻿ ,92701-92799,06-69000,,"1652790,[5] 2411814",,John Wayne International AirportSNA (Major/International)
57,Riverside,California,"303,871",210.3 ,81.2 ,"1,544","3,999",951,,United States,Riverside,,"4,034.57/sq mi (1,557.79/km2)",827 ft (252 m),"330,063,327,728",,"October 11, 1883; 135 years ago (1883-10-11)[1]",81.23 sq mi (210.38 km2),,,1st in Riverside County12th in California59th in the United States,UTC−7 (PDT),UTC−8 (Pacific),Council-manager[3],0.31 sq mi (0.80 km2)  0.37%,riversideca.gov,+8.62%,33°56′17″N 117°23′36″W﻿ ,92501-92522,06-62000,,"1661315, 2410965",,San Bernardino International AirportSBD (Major/International)
58,Corpus Christi,Texas,"305,215",452.2 ,174.6 ,720,"1,866",361,"Nueces, Kleberg, San Patricio, Aransas[1]",United States,,,"1,830/sq mi (710/km2)",7 ft (2 m),"326,554,325,605",,,174.6 sq mi (452 km2),,"442,600 (114th U.S.)",US: 58th,UTC−5 (CDT),UTC−6 (CST),Council-manager government|Council-Manager,329.0 sq mi (852 km2),www.cctexas.com,+6.99%,27°45′15″N 97°10′24″W﻿ ,78401-78418,48-17000[3],,1333380[4],,
59,Lexington,Kentucky,"295,803",734.5 ,283.6 ,434,"1,123",859,Fayette,United States,,Lexingtonian,"1,042.8/sq mi (364.5/km2)",978 ft (298 m),"323,780",,1831[2],284.5 sq mi (736.9 km2),Linda Gorton,"512,650",US: 60th  Kentucky: 2nd,UTC−4 (EDT),UTC−5 (EST),,1.0 sq mi (2.6 km2),www.lexingtonky.gov,+9.46%,38°02′27″N 84°27′30″W﻿ ,40502-40598,,,,,Blue Grass AirportLEX (Regional)
60,Stockton,California,"291,707",159.8 ,61.7 ,"1,922","4,977",209,,United States,San Joaquin,,"4,979.52/sq mi (1,922.60/km2)",13 ft (4 m),"311,178,310,496",,"July 23, 1850[4]",61.67 sq mi (159.72 km2),Michael Tubbs (D)[6],"726,126",1st in San Joaquin County13th in California63rd in the United States,UTC−7 (PDT),UTC−8 (Pacific),City Manager-Council[5],3.08 sq mi (7.98 km2)  4.76%,www.stocktongov.com,+6.67%,37°58′35″N 121°18′48″W﻿ ,95201-95297,06-75000,,"1659872, 2411987",,
61,Henderson,Nevada,"257,729",271.2 ,104.7 ,"1,080","2,798",702 and 725,,United States,Clark,,,"1,864 ft (569 m)","310,390,302,539",1941,"April 16, 1953",107.7 sq mi (279.0 km2),Debra March (D),,,UTC−7 (PDT),UTC−8 (PST),Council-manager,0.0 sq mi (0.0 km2),www.cityofhenderson.com,+20.43%,36°00′35″N 115°02′09″W﻿ ,89002-89077,32-31900,,,,
62,Saint Paul,Minnesota,"285,068",134.7 ,52.0 ,"2,245","5,815",651,,United States,Ramsey,Saint Paulite,"5,899.51/sq mi (2,277.82/km2)",795 ft (214 m),"307,695,306,621",,"March 4, 1854",51.97 sq mi (134.61 km2),Melvin Carter (DFL),"3,524,583 (US: 16th)",City: 64th MN: 2nd,UTC−5 (CDT),UTC−6 (CST),,4.20 sq mi (10.88 km2),www.stpaul.gov,+7.94%,44°56′56″N 93°06′15″W﻿ ,55101-55175,27-58000,,,,
63,St. Louis,Missouri,"319,294",160.6 ,62.0 ,"1,939","5,023",314,,United States,,St. Louisan,"4,985.9/sq mi (1,925.1/km2)","466 ft (142 m),614 ft (187 m)","302,838,308,626",1764,1822,61.9 sq mi (160 km2),Lyda Krewson (D),"2,807,338 (US: 20th)",US: 61stMO: 2ndMidwest: 11th,UTC−5 (CDT),UTC−6 (CST),Mayor–council government,4.1 sq mi (11 km2),stlouis-mo.gov,−5.15%,38°38′09″N 90°14′41″W﻿ ,63160-63195,,,,,"St. Louis Lambert International Airport
MidAmerica St. Louis Airport"
64,Cincinnati,Ohio,"296,943",200.5 ,77.4 ,"1,490","3,860","513, 
937",,United States,Hamilton,Cincinnatian,"1,471.0/km2 (3,809.9/sq mi)",147 m (482 ft),"302,605,301,301",,"March 1, 1819[2]",201.86 km2 (77.94 sq mi),John Cranley (D),"2,137,406 (US: 28th)",US: 65th,UTC−4 (EDT),UTC−5 (EST),Mayor–council,4.14 km2 (1.60 sq mi),cincinnati-oh.gov,+1.91%,39°08′25″N 84°30′21″W﻿ ,45209-45999,39-15000[7],,1066650[8],,
65,Pittsburgh,Pennsylvania,"305,704",143.5 ,55.4 ,"2,116","5,481","412, 724, 878",,United States,Allegheny,"Pittsburgher, Yinzer","5,460.98/sq mi (2,108.49/km2)","1,370 ft (420 m),710 ft (220 m)","301,048,306,803","November 27, 1758,George Washington
General John Forbes",,55.38 sq mi (143.42 km2),Bill Peduto (D),"2,362,453 (US: 22nd)",US: 65th,UTC−4 (Eastern Daylight Time),UTC−5 (Eastern Standard Time),Mayor-Council,2.97 sq mi (7.69 km2)  4.8%,PittsburghPA.gov,−1.52%,40°26′23″N 79°58′36″W﻿ ,15120-15289,42-61000,,1213644,"New France
 Quebec
 Province of Pennsylvania,France
 Great Britain",
66,Greensboro,North Carolina,"269,666",332.3 ,128.3 ,864,"2,237",336,,United States,Guilford,,,897 ft (272 m),"294,722,287,027",,,126.5 sq mi (327.7 km2),Nancy B. Vaughan (D),,,UTC−4 (EDT),UTC−5 (EST),City Council,5.3 sq mi (13.7 km2),www.greensboro-nc.gov,+9.29%,36°05′42″N 79°49′37″W﻿ ,27214-27499,37-28000[1],,1020557[1],,
67,Anchorage,Alaska,"291,826","4,420.1 ","1,706.6 ",68,175,907,,United States,,"Anchoragite
Anchoriginal (informal)",151.94/sq mi (58.66/km2),102 ft (31 m),"291,538,291,538",,"November 23, 1920 (city)
January 1, 1964 (borough)
September 15, 1975(unified municipality)","1,706.61 sq mi (4,420.09 km2)",Ethan Berkowitz (D),"399,148 (US: 134th)","1st in Alaska
66th in the United States",UTC-8 (AKDT),UTC-9 (AKST),,256.00 sq mi (663.04 km2),Municipality of Anchorage,−0.10%,61°10′27″N 149°17′03″W﻿ ,99501-99599,02-03000,,,,
68,Plano,Texas,"259,841",185.7 ,71.7 ,"1,540","3,990","214, 469, 972","Collin, Denton",United States,,Planoite,"3,820.2/sq mi (1,474.99/km2)",666 ft (203 m),"288,061",,1873,71.6 sq mi (185.5 km2),,"7,102,796 (DFW Metroplex)",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,0.1 sq mi (0.2 km2),www.plano.gov,+10.86%,33°03′03″N 96°44′52″W﻿ ,75086-75086,48-58016[3],,,,
69,Lincoln,Nebraska,"258,379",238.5 ,92.1 ,"1,175","3,044","402, 531",,United States,Lancaster,Lincolnite,"3,020.5/sq mi (1,166.2/km2)","1,176 ft (358 m)","287,401,287,401",Lancaster 1856,"April 1, 1869",92.913 sq mi (240.644 km2),Leirion Gaylor Baird (D),"331,519 (US: 154th)",,UTC-5 (CDT),UTC-6 (CST),Strong Mayor-Council,1.354 sq mi (3.507 km2)  1.5%,lincoln.ne.gov,+11.23%,40°48′38″N 96°40′49″W﻿ ,68512-68588,31-28000,,0837279[7],,
70,Orlando,Florida,"238,300",272.5 ,105.2 ,"1,017","2,635","321, 407",,United States,Orange,Orlandoan,"1,017.10/km2 (2,634.27/sq mi)",25 m (82 ft),"285,713,280,257",,"1885,October 1879,July 1879",272.51 km2 (105.22 sq mi),Buddy Dyer (D),"2,387,138 (24th, U.S.)","73rd, U.S.",UTC−4 (EDT),UTC−5 (Eastern (EST)),Mayor–Commission,22.10 km2 (8.53 sq mi),http://www.cityoforlando.net,+19.90%,28°25′00″N 81°16′25″W﻿ ,32825-32825,12-53000,,0288240[4],,
71,Irvine,California,"212,375",169.9 ,65.6 ,"1,566","4,057","949, 657/714",,United States,Orange,Irvinite,"4,211.28/sq mi (1,566.75/km2)",56 ft (17 m),"282,572,276,176",,"December 28, 1971[3][4]",65.58 sq mi (169.86 km2),Christina L. Shea,,3rd in Orange County16th in California75th in the United States,UTC−7 (PDT),UTC−8 (Pacific),Council-Manager[3],0.34 sq mi (0.89 km2)  0.52%,cityofirvine.org,+33.05%,33°40′42″N 117°46′17″W﻿ ,92602-92697,06-36770[11],,"1660804, 2410116",,John Wayne International AirportSNA (Major/International)
72,Newark,New Jersey,"277,140",62.4 ,24.1 ,"4,514","11,691",862/973[21],,United States,Essex,Newarker[18],"11,458.3/sq mi (4,424.1/km2)",13 ft (4 m),"282,090,285,154",Religious colony (1663),"October 31, 1693 (as township),April 11, 1836 (as city)",24.187 sq mi (62.644 km2),Ras Baraka (D)[4][5],,70th in country (as of 2017)[15][16]1st of 566 in state1st of 22 in county[17],UTC−4 (Eastern (EDT)),UTC−5 (Eastern (EST)),Faulkner Act (Mayor-Council),1.920 sq mi (4.973 km2)  7.35%,newarknj.gov,+1.79%,40°43′27″N 74°10′21″W﻿ ,7112-7112,3401351000[2][22][23],,0885317[2][24],,
73,Toledo,Ohio,"287,208",209.0 ,80.7 ,"1,332","3,451","419, 567",,United States,Lucas,Toledoan,"3,559/sq mi (1,374.3/km2)",614 ft (187 m),"274,975,279,789",1833,,80.69 sq mi (208.99 km2),Wade Kapszukiewicz (D),"608,145 (US: 89th)",US: 72nd,UTC−4 (EDT),UTC−5 (EST),,3.43 sq mi (8.88 km2),www.toledo.oh.gov,−4.26%,41°39′51″N 83°34′55″W﻿ ,43617-43699,39-77000,,1067015[5],,
74,Durham,North Carolina,"228,330",284.4 ,109.8 ,925,"2,395",919,,United States,"Durham, Wake",Durhamite,,404 ft (123 m),"274,291,263,016",,"April 10, 1869[2]",107.4 sq mi (278.1 km2),Steve Schewel,"542,710 (US: 100th)",,UTC−4 (EDT),UTC−5 (EST),Council-Manager,0.9 sq mi (2.4 km2),durhamnc.gov,+20.13%,35°58′52″N 78°54′10″W﻿ ,27701-27722,37-19000[4],,1020059[5],,
75,Chula Vista,California,"243,916",128.5 ,49.6 ,"2,080","5,387",619,,United States,San Diego,,"5,383.06/sq mi (2,078.39/km2)",66 ft (20 m),"271,651,270,471",,"November 28, 1911[3]",49.63 sq mi (128.55 km2),,"San Diego–Tijuana: 5,105,768",2nd in San Diego County14th in California74th in the United States,UTC-7 (PDT),UTC-8 (PST),Council-Manager,2.46 sq mi (6.38 km2)  4.73%,www.chulavistaca.gov,+11.37%,32°37′40″N 117°00′55″W﻿ ,91909-91921,06-13392,,"1660481, 2409461",,San Diego International AirportSAN (Major/International)
76,Fort Wayne,Indiana,"253,691",286.5 ,110.6 ,923,"2,391",260,,United States,Allen,,"2,390.79/sq mi (923.09/km2)",810 ft (247 m),"267,633,265,904","Jean François Hamtramck,October 22, 1794","February 22, 1840",110.63 sq mi (286.52 km2),Tom Henry (D),"419,453 (US: 122nd)",US: 78th,UTC−04:00 (EDT),UTC−05:00 (EST),Mayor–council,0.21 sq mi (0.55 km2),www.cityoffortwayne.org,+5.50%,41°05′18″N 85°08′38″W﻿ ,46774-46845,18-25000,,0434689[10],,
77,Jersey City,New Jersey,"247,597",38.3 ,14.8 ,"6,891","17,848",201[25],,United States,Hudson,,"16,736.6/sq mi (6,462.0/km2)",20 ft (6 m),"265,549,270,753",,"February 22, 1838",14.794 sq mi (38.316 km2),Steven Fulop(D)[13][14],,75th in country (as of 2017)[23]2nd of 566 in state1st of 12 in county,UTC−4 (Eastern (EDT)),UTC−5 (EST),Faulkner Act (Mayor-Council),6.286 sq mi (16.281 km2)  29.82%,www.jerseycitynj.gov,+7.25%,40°42′41″N 74°03′53″W﻿ ,7097-7097,3401736000[11][26][27],,0885264[11][28],,
78,St. Petersburg,Florida,"244,769",160.1 ,61.8 ,"1,631","4,223",727,,United States,Pinellas,"St. Petersburger, St. Peteian, Burgian, Saint Petersburgite","4,226.57/sq mi (1,631.90/km2)",44 ft (13.4 m),"265,098,263,255",1888,"February 29, 1892,June 6, 1903",61.75 sq mi (159.94 km2),Rick Kriseman (D),"2,870,569 (18th)",79th,UTC−4 (EDT),UTC−5 (Eastern (EST)),Strong Mayor-Commission,75.89 sq mi (196.56 km2),www.stpete.org,+8.31%,27°45′43″N 82°38′39″W﻿ ,33701-33710,12-63000[6],,290375[7],,
79,Laredo,Texas,"236,091",261.8 ,101.1 ,982,"2,544",956,,United States,Webb,Laredoan,,438 ft (137.2 m),"261,639",Tomás Sánchez,,101.1 sq mi (261.8 km2),Pete Saenz (D),"259,172 (US: 178th)",,UTC−5 (CST),UTC−6 (CST),Council-manager,1.5 sq mi (3.9 km2),laredotexas.gov,+10.82%,27°33′37″N 99°29′21″W﻿ ,78040-78049,48-41464[1],,1339633[2],,Laredo International Airport KLRD (LRD)
80,Madison,Wisconsin,"233,209",199.4 ,77.0 ,"1,270","3,280",608,,United States,Dane,Madisonian,"3,232.56/sq mi (1,248.10/km2)",873 ft (226 m),"258,054,255,214",1836,1856,78.95 sq mi (204.48 km2),Satya Rhodes-Conway (D),"654,230 (US: 86th)",US: 82nd,UTC−5 (CDT),UTC−6 (Central),,21.96 sq mi (56.88 km2),cityofmadison.com,+10.65%,43°05′16″N 89°25′48″W﻿ ,,55-48000,,,,
81,Chandler,Arizona,"236,123",168.1 ,64.9 ,"1,472","3,813",480,,United States,Maricopa,Chandlerite,"3,810.80/sq mi (1,471.37/km2)","1,214 ft (370 m)","257,165,253,458","May 17, 1912",1920,64.94 sq mi (168.20 km2),Kevin Hartke,,US: 84th,,UTC−7 (MST (no DST)),Council-Manager,0.10 sq mi (0.26 km2),www.chandleraz.gov,+8.91%,33°16′58″N 111°51′18″W﻿ ,85224-85286,04-12000,,,,
82,Buffalo,New York,"261,310",104.6 ,40.4 ,"2,455","6,359",716,,United States,Erie,,"6,436/sq mi (2,568/km2)",600 ft (183 m),"256,304,258,612",1801,1832,40.6 sq mi (105.2 km2),Byron Brown (D),"1,134,210 (US: 49th)",,UTC−04:00 (EDT),UTC−05:00 (EST),,11.9 sq mi (30.8 km2),www.city-buffalo.com,−1.92%,42°53′33″N 78°51′35″W﻿ ,,36-11000,,0973345,,
83,Lubbock,Texas,"229,573",322.7 ,124.6 ,783,"2,027",806,,United States,Lubbock,Lubbockite,,"3,202 ft (976 m)","255,885",,"March 16, 1909",122.41 sq mi (317.04 km2),Dan Pope (R),"314,840",,UTC−5 (CDT),UTC−6 (CST),Council-manager,1.14 sq mi (2.96 km2),www.ci.lubbock.tx.us,+11.46%,33°33′56″N 101°53′12″W﻿ ,79423-79499,48-45000[5],,1374760[1],,
84,Scottsdale,Arizona,"217,385",476.3 ,183.9 ,518,"1,341",480,,United States,Maricopa,,"1,340.88/sq mi (517.72/km2)","1,257 ft (380 m)","255,310,246,645",,1951,183.94 sq mi (476.41 km2),Jim Lane (R),,US: 92nd,,UTC−7 (MST (no DST)),Council-Manager,0.47 sq mi (1.22 km2),www.scottsdaleaz.gov,+17.45%,33°41′03″N 111°51′40″W﻿ ,85250-85271,04-65000,,11029[4],,
85,Reno,Nevada,"225,221",277.9 ,107.3 ,883,"2,286",775,,United States,Washoe,Renoites,,"4,505.6 ft (1,373 m)","250,998,248,853","May 9, 1868","March 16, 1903",103.0 sq mi (266.8 km2),Hillary Schieve (ID),"425,417",,UTC−7 (PDT),UTC−8 (Pacific (PST)),Council-manager,2.9 sq mi (7.4 km2),reno.gov,+11.45%,39°32′57″N 119°51′00″W﻿ ,,32-60600,,0861100,,Reno Stead Airport Reno–Tahoe International Airport
86,Glendale,Arizona,"226,721",153.1 ,59.1 ,"1,607","4,161",623 and 602,,United States,Maricopa,Glendalian,"4,142.16/sq mi (1,599.30/km2)","1,152 ft (351 m)","250,702,246,709",,,59.36 sq mi (153.75 km2),Jerry Weiers (Non-Partisan),,US: 89th,,UTC-7 (MST (no DST)),,0.39 sq mi (1.00 km2),www.glendaleaz.com,+10.58%,33°31′59″N 112°11′24″W﻿ ,,04-27820,,,,
87,Gilbert,Arizona,"208,453",176.1 ,68.0 ,"1,346","3,487",480,,United States,Maricopa,,"3,487.20/sq mi (1,346.41/km2)","1,237 ft (377 m)","248,279,242,354",,,68.00 sq mi (176.12 km2),Jenn Daniels (R),"4,737,270 (US: 11th)",US: 91st,,UTC-7 (MST (no DST)),,0.20 sq mi (0.51 km2),www.gilbertaz.gov,+19.11%,33°18′37″N 111°44′35″W﻿ ,85233-85234,04-27400,,,,
88,Winston–Salem,North Carolina,"229,617",343.2 ,132.5 ,706,"1,828",336/743,Forsyth,United States,,Winston-Salemite,"1,800/sq mi (710/km2)",970 ft (300 m),"246,328,242,203","1766 (Salem),1849 (Winston)",,132.4 sq mi (343.0 km2),Allen Joines (D)[1],,,UTC−4 (EDT),UTC−5 (Eastern),,1.2 sq mi (3.2 km2),www.cityofws.org,+7.28%,36°06′10″N 80°15′40″W﻿ ,,,,,,
89,North Las Vegas,Nevada,"216,961",253.8 ,98.0 ,941,"2,436",702 and 725,,United States,Clark,,"2,100/sq mi (830/km2)","2,205 ft (672 m)","245,949,249,180",1919[1],"May 1, 1946",101.4 sq mi (262.5 km2),John Lee (D),,,UTC-7 (PDT),UTC-8 (PST),Council-Manager,0.04 sq mi (0.1 km2),www.cityofnorthlasvegas.com,+13.36%,36°17′09″N 115°05′38″W﻿ ,89030-89087,32-51800,,0847435,,
90,Norfolk,Virginia,"242,803",138.0 ,53.3 ,"1,776","4,599",757,,United States,,,"4,593.03/sq mi (1,773.39/km2)",7 ft (2.13 m),"244,076,244,703",1682,1736,53.28 sq mi (137.99 km2),Kenny Alexander (D),"1,672,319",,UTC−4 (EDT),UTC−5 (EST),,43.13 sq mi (111.70 km2),www.norfolk.gov,+0.52%,36°55′23″N 76°14′41″W﻿ ,23523-23551,51-57000[3],,1497051[4],,
91,Chesapeake,Virginia,"222,209",876.7 ,338.5 ,271,703,757,,United States,None (Independent city),,710.16/sq mi (274.19/km2),,"242,634,240,397","1963 (1919 as South Norfolk, 1634 as Norfolk County, Virginia)",,338.51 sq mi (876.74 km2),"Dr. Richard W. ""Rick"" West (R)","1,672,319",,UTC−4 (EDT),UTC−5 (EST),Council-Manager,12.44 sq mi (32.21 km2)  2.9%,www.cityofchesapeake.net,+9.19%,36°40′46″N 76°18′06″W﻿ ,,51-16000[3],,1496841[4],,
92,Garland,Texas,"226,876",147.6 ,57.0 ,"1,592","4,122","214, 972, 469",,United States,Dallas,,"4,000/sq mi (1,500/km2)",551 ft (168 m),"242,507",,1891[2],57.1 sq mi (147.9 km2),,,,UTC-5 (CDT),UTC-6 (CST),Council-Manager,0 sq mi (0.0 km2),garlandtx.gov,+6.89%,32°54′35″N 96°37′49″W﻿ ,,48-29000[3],,1388185[4],,
93,Irving,Texas,"216,290",173.5 ,67.0 ,"1,373","3,557","972, 817, 469, 214,",,United States,Dallas,,"3,227/sq mi (1,246/km2)",482 ft (147 m),"242,242,238,289",,"April 14, 1914[2]",67.9 sq mi (174.1 km2),,"6,810,913 (4th)",(US: 94th),UTC-5 (CDT),UTC-6 (CST),Council-Manager,0.4 sq mi (1.1 km2),cityofirving.org,+12.00%,32°51′28″N 96°58′12″W﻿ ,75000-75099,48-37000[7],,1338507[8],,
94,Hialeah,Florida,"224,669",55.7 ,21.5 ,"4,245","10,995","305, 786",,United States,Miami-Dade,,"11,007.03/sq mi (4,249.79/km2)",7 ft (2 m),"238,942,239,673",,,21.48 sq mi (55.62 km2),Carlos Hernández (R)[1],"5,828,191",,UTC−4 (EDT),UTC−5 (EST),Council-Mayor,1.34 sq mi (3.48 km2),www.hialeahfl.gov,+6.35%,25°52′12″N 80°18′10″W﻿ ,33002-33002,12-30000,,0305059[4],,
95,Fremont,California,"214,089",200.7 ,77.5 ,"1,161","3,008",510,,United States,Alameda,,"3,009.57/sq mi (1,162.00/km2)",56 ft (17 m),"237,807,233,136",,"January 23, 1956[1]",77.47 sq mi (200.63 km2),,,2nd in Alameda County16th in California96th in the United States,UTC−7 (PDT),UTC−8 (Pacific),Council–manager[2],10.15 sq mi (26.29 km2)  11.6%,www.fremont.gov,+11.08%,37°29′40″N 121°56′28″W﻿ ,94536-94555,06-26000,,"277521, 2410545",,
96,Boise,Idaho,"205,671",212.6 ,82.1 ,"1,049","2,718","208, 986",,United States,Ada,Boisean,"2,718.54/sq mi (1,049.64/km2)","2,730 ft (830 m)","228,790,226,570",1863,1864,82.09 sq mi (212.60 km2),Dave Bieter (D),"709,845 (US: 80th)",,UTC−6 (MDT),UTC−7 (MST),Strong-mayor,0.71 sq mi (1.85 km2),www.cityofboise.org,+11.24%,43°36′01″N 116°13′54″W﻿ ,83701-83799,16-08830,,400590,,
97,Richmond,Virginia,"204,214",154.9 ,59.8 ,"1,441","3,732",804,,United States,None (independent city),Richmonder,"3,789.30/sq mi (1,463.06/km2)",166.45 ft (45.7 m),"228,783,227,032",,,59.91 sq mi (155.18 km2),Levar Stoney (D),"1,263,617 (44th)",,UTC-4 (EDT),UTC-5 (EST),,2.66 sq mi (6.88 km2),www.ci.richmond.va.us,+12.03%,37°31′53″N 77°28′34″W﻿ ,23173-23298,51-76000[4],,1499957[5],,
98,Baton Rouge,Louisiana,"229,493",222.5 ,85.9 ,"1,024","2,651",225,,United States,,Baton Rougean,"2,650.13/sq mi (1,023.22/km2)",56 ft (17 m),"221,599,225,374",1699,"January 16, 1817",85.93 sq mi (222.55 km2),,"830,480 (US: 70th)",US: 97th,UTC−5 (CDT),UTC−6 (CST),,2.19 sq mi (5.68 km2),www.brgov.com,−3.44%,30°26′32″N 91°07′51″W﻿ ,70831-70898,22-05000,,,,
99,Spokane,Washington,"208,916",177.9 ,68.7 ,"1,214","3,144",509,,United States,Spokane,Spokanite,"3,157.15/sq mi (1,218.99/km2)","1,843 ft (562 m)","219,190,217,108","1873[1],James Glover[1]","November 29, 1881",68.77 sq mi (178.11 km2),David Condon (R),"564,236 (US: 98th)",US: 101st,UTC−7 (PDT),UTC−8 (PST),Mayor-Council,0.74 sq mi (1.91 km2)  1.28%,www.spokanecity.org,+4.92%,47°40′01″N 117°26′00″W﻿ ,99202-99299,,,1512683[6],,
